,layers,hid_dim,n_param,accuracy
0,1,1,805,0.1135
0,1,2,1600,0.3143
0,1,4,3190,0.1135
0,1,8,6370,0.8435
0,1,16,12730,0.7762
0,1,32,25450,0.9383
0,1,64,50890,0.9549
0,1,128,101770,0.95
0,1,256,203530,0.9528
0,1,512,407050,0.9571
0,1,1024,814090,0.9647
0,2,1,807,0.1135
0,2,2,1606,0.1135
0,2,4,3210,0.3441
0,2,8,6442,0.7577
0,2,16,13002,0.9295
0,2,32,26506,0.9338
0,2,64,55050,0.9464
0,2,128,118282,0.947
0,2,256,269322,0.9604
0,2,512,669706,0.9636
0,2,1024,1863690,0.9637
0,3,1,809,0.1135
0,3,2,1612,0.1135
0,3,4,3230,0.8077
0,3,8,6514,0.7767
0,3,16,13274,0.9137
0,3,32,27562,0.9427
0,3,64,59210,0.9533
0,3,128,134794,0.9565
0,3,256,335114,0.9562
0,3,512,932362,0.9682
0,3,1024,2913290,0.9716
